HomeTeam,AwayTeam,FTR,FTHG,FTAG,Referee,B365H,B365D,B365A,Season,Home_ELO,Home_LP,Home_Points,Home_GD,Home_Played,Away_ELO,Away_LP,Away_Points,Away_GD,Away_Played,home_last_match,home_last_3,home_last_5,away_last_match,away_last_3,away_last_5,Home_Points/Played,Away_Points/Played
Man United,Leicester,H,2,1,A Marriner,1.57,3.9,7.5,18/19,1882.25524902,1.0,0.0,0.0,0.0,1694.578125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,Cardiff,H,2,0,K Friend,1.9,3.6,4.5,18/19,1670.79980469,1.0,0.0,0.0,0.0,1573.71130371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulham,Crystal Palace,A,0,2,M Dean,2.5,3.4,3.0,18/19,1631.04772949,1.0,0.0,0.0,0.0,1690.26855469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huddersfield,Chelsea,A,0,3,C Kavanagh,6.5,4.0,1.61,18/19,1564.29187012,1.0,0.0,0.0,0.0,1834.48913574,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle,Tottenham,A,1,2,M Atkinson,3.9,3.5,2.04,18/19,1668.04284668,1.0,0.0,0.0,0.0,1912.11816406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watford,Brighton,H,2,0,J Moss,2.37,3.2,3.4,18/19,1623.49584961,1.0,0.0,0.0,0.0,1630.09216309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolves,Everton,D,2,2,C Pawson,2.37,3.3,3.3,18/19,1590.3223877,1.0,0.0,0.0,0.0,1696.83447266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Man City,A,0,2,M Oliver,4.0,3.8,1.95,18/19,1819.93261719,1.0,0.0,0.0,0.0,1972.18200684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool,West Ham,H,4,0,A Taylor,1.25,6.5,14.0,18/19,1915.22900391,1.0,0.0,0.0,0.0,1670.87817383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southampton,Burnley,D,0,0,G Scott,1.85,3.5,5.0,18/19,1650.65405273,1.0,0.0,0.0,0.0,1690.08410645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff,Newcastle,D,0,0,C Pawson,3.25,3.1,2.54,18/19,1570.60559082,17.0,0.0,-2.0,1.0,1666.89868164,14.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Arsenal,H,3,2,M Atkinson,1.8,4.0,4.5,18/19,1843.27819824,2.0,3.0,3.0,1.0,1814.7935791,15.0,0.0,-2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Everton,Southampton,H,2,1,L Mason,1.9,3.5,4.75,18/19,1698.46520996,9.0,1.0,0.0,1.0,1652.65307617,12.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Leicester,Wolves,H,2,0,M Dean,2.04,3.5,3.9,18/19,1694.64440918,13.0,0.0,-1.0,1.0,1594.20068359,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Tottenham,Fulham,H,3,1,A Taylor,1.28,6.0,12.0,18/19,1918.77148438,8.0,3.0,1.0,1.0,1622.15246582,18.0,0.0,-2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
West Ham,Bournemouth,A,1,2,S Attwell,2.1,3.6,3.7,18/19,1669.89550781,20.0,0.0,-4.0,1.0,1679.41455078,3.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
